"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"285" 25460704 3836555.90028618 2537034.60983507 4156741.92029 2931371.87799 227.8 "Lauter" "UNTERSULZBACH" 0.190332904415786 1 TRUE
"101" 3629101 3864914.02230898 2836483.76704128 4181902.42548 3237559.65802 228 "Düte" "WERSE" 0.696780616226406 1 FALSE
"31" 60682 3895302.40916622 2479340.84919947 4216735.83029 2869391.3319 231 "Pfinz" "BERGHAUSEN" 0.58899864975532 1 FALSE
"352" 27888500 3817323.12364134 2780447.96703633 4124779.62591 3196355.73137 236.4 NA "SYTHEN I" 0.788628921098939 1 FALSE
"319" 27140205 3819631.73507608 2628136.13961906 4118375.83302 3031297.99454 241.7 "Nette" "WERNERSECK" 0.71194097114961 1 TRUE
"110" 4872119 3985175.11101883 2860634.92522695 4306949.48935 3261071.48935 242 "Wietze" "MEITZE" 0.573300683691619 1 TRUE
"60" 566010 4230549.74952895 2682620.92842858 4565644.47507 3079320.66438 244 "Freiberger Mulde" "BERTHELSDORF" 0.600063042135927 1 FALSE
"119" 4941116 3969901.15330779 2928784.31010842 4300545.15372 3343526.79333 248 "Wümme" "LAUENBRUECK B75" 0.721537101615411 1 FALSE
"46" 440010 4069595.53516188 2834278.10542692 4400150.3553 3233203.16386 249 "Aller" "WEFERLINGEN" 0.645849403373296 1 FALSE
"299" 25840708 3882865.49912695 2666202.15672064 4195839.31931 3075198.22782 250.8 "Dill" "DILLENBURG" 0.455258688684321 1 FALSE
"235" 23720305 3850124.66753684 2485067.61321851 4159190.75045 2894744.38923 252 "Lauter" "BOBENTHAL" 0.37744284450926 1 TRUE
"336" 27649500 3850947.68751524 2742995.68996558 4170177.36035 3140873.47318 254 "Sieg" "MENDEN" 0.840560024679581 1 TRUE
"281" 25420404 3821455.4117366 2566707.09488699 4129439.5712 2979197.61998 254.5 "Hahnenbach" "KALLENFELS" 0.615924542164182 1 TRUE
"251" 24149503 4083383.55546054 2610043.64528356 4405403.55767 3028025.12935 255 "Neckar" "Horb" 0.69342383510528 1 TRUE
"38" 421510 4049674.3121694 2638825.40873898 4379285.0166 3048092.76899 256 "Schleuse" "RAPPELSDORF" 0.666136878200073 1 FALSE
"159" 6342630 4199566.20627653 2514113.00568476 4535386.35306 2915286.26074 256.39 "Chamb" "FUHRT IM WALD" 0.594776074605055 1 FALSE
"96" 590210 4123534.08856574 2809153.68177731 4459341.71458 3224507.15278 260 "Ehle" "DANNIGKOW" -0.834865709945303 1 TRUE
"128" 6335465 3986812.42851737 2338553.84097348 4324844.24184 2730646.93474 260.5 "Untere Argen" "Beutelsau" 0.740375136076419 1 FALSE
"124" 6335040 3785196.97403267 2671906.36093701 4105304.28674 3064680.54198 261.56 "Swist" "WEILERSWISRT" 0.398430656419369 1 FALSE
"307" 26280854 3754521.26896433 2578137.24960968 4069338.1399 3001240.22394 263.9 "Nims" "ALSDORF OBERECKEN" 0.629865717079939 1 FALSE
"4" 129 3993140.43457385 2398143.25657293 4320358.3309 2770994.75354 264 "Baierzer Rot" "ACHSTETTEN" 0.473673013823305 1 FALSE
"350" 27876700 3838638.34068395 2759116.81590527 4159998.52558 3162666.40551 266 "Seseke" "NIEDERADEN" 0.310272914472077 1 FALSE
"49" 550190 4280392.3278052 2694158.74684358 4618828.53463 3107658.40664 267 "Lachsbach" "PORSCHDORF 1" 0.387342381915988 1 FALSE
"48" 447000 3997994.03372421 2733172.25174402 4330922.47306 3140372.4071 275 "Leine" "ARENSHAUSEN" 0.535558329266567 1 FALSE
"208" 16612001 4076590.63962017 2347168.55644824 4394972.19368 2723559.52335 291.2 "Ammer" "Peißenberg" 0.381634210226118 1 FALSE
"88" 577510 4165078.06961402 2683568.7304814 4488812.35913 3075477.42982 293 "Pleiße" "GOESSNIT" 0.581889838149851 1 FALSE
"53" 554520 4254516.13826954 2720364.1608338 4595286.44667 3123003.98324 300 "Große Röder" "GROSSDITTMANNSDO" 0.464328590385219 1 FALSE
"132" 6335621 3855353.03328832 2385030.47598909 4178616.61571 2780720.61452 302.48 "Elz" "GUTACH" -0.0939064837225042 1 FALSE
"293" 25810558 3900304.59952018 2683431.38589008 4208307.06817 3088818.41165 303.3 "Lahn" "BIEDENKOPF" 0.541116324486272 1 FALSE
"86" 575500 4052585.76315779 2747295.54503777 4370389.99806 3165991.73038 304 "Zorge" "NORDHAUSEN" 0.419065365804142 1 FALSE
"161" 6342675 4168438.75576626 2421151.12998691 4483814.26775 2809236.3245 304.01 "Vils" "VILSBIBURG" 0.70779474294351 1 FALSE
"44" 429010 4023130.12258594 2689902.45782573 4357005.60071 3087696.22647 305 "Hörsel" "EISENACH-PETERSBER" 0.564428327672062 1 FALSE
"302" 25871756 3872760.29647122 2625802.63004233 4197260.15628 3021251.0877 305.2 "Emsbach" "NIEDERBRECHEN" 0.756869092934619 1 TRUE
"5" 144 4002992.10357617 2356691.039188 4319742.98988 2745999.5098 308 "Günz" "LAUBE" 0.715484665400271 1 TRUE
"356" 28289000 3741196.1626838 2701042.0719427 4047810.40981 3091153.98736 310.5 "Wurm" "RANDERATH" 0.182994764866691 1 FALSE
"390" 46270000 3918534.56110207 2806564.06579495 4248748.96526 3212035.53617 314 "Bega" "LINDEMANNSHEIDE" 0.549008500238654 1 FALSE
"287" 25480304 3849118.22601462 2563797.54111671 4163537.74145 2946728.82728 316.3 "Alsenz" "ALTENBAMBERG" 0.639731039086249 1 FALSE
