"date" "event_type" "event_count" "Qduration" "t2pd" "peak" "temp.cv" "Pmax.vol.ratio" "space_cv" "mean_RM_ant" "ant_sm" "space_cv_sm" "cov_SM_RM_ts_mean" "snow.cover.cov" "volumeP" "volumeR" "volumeM" "frozen.cover.cov"
"5276" 1994-03-11 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5277" 1994-03-12 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5278" 1994-03-13 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5279" 1994-03-14 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5280" 1994-03-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5281" 1994-03-16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5282" 1994-03-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5283" 1994-03-18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5284" 1994-03-19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5285" 1994-03-20 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5286" 1994-03-21 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5287" 1994-03-22 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5288" 1994-03-23 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5289" 1994-03-24 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5290" 1994-03-25 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5291" 1994-03-26 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5292" 1994-03-27 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5293" 1994-03-28 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5294" 1994-03-29 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5295" 1994-03-30 5 6 11 2 4.99193667546174 1.0524492882977 0.536544429356474 0.525096737704573 0.307194401356606 0.99532511074499 0.0127561295454858 0.00619306121496477 1.9048517060087 35.8584241126332 35.2615995129227 0.596824599710492 0
"5296" 1994-03-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5297" 1994-04-01 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5298" 1994-04-02 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5299" 1994-04-03 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5300" 1994-04-04 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5301" 1994-04-05 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5302" 1994-04-06 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5303" 1994-04-07 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
